index: 0
( 1.37883650757194554E-01 , 9.08429991365812400E-02 )
( 9.50255640611122554E-01 , -3.97955327791458591E-01 )
( 1.19752761079513492E+00 , -1.05874411322492798E-01 )
( -1.26892308707680823E+00 , -3.93418229437174360E-01 )
( -4.10124191462405308E-01 , -4.38289585557512018E-01 )
( 1.38239807710564933E-01 , 4.58767033469505481E-01 )
( 7.71113182389023710E-01 , 1.04614710529279484E-02 )
index: 27
( 4.17725509441783771E-01 , -2.11784997861938468E-01 )
( 1.01734679564997266E+00 , -8.83631228564478975E-03 )
( 1.31345016943581827E+00 , -4.23349507331852115E-01 )
( 1.09263350052988484E+00 , -1.79242645816748869E+00 )
( -1.12861008603540625E+00 , 7.95214325460882110E-01 )
( -8.51786612289465950E-01 , -1.48253109996757504E-01 )
( 7.47535262803333156E-01 , -1.37780614606901001E-02 )
( -6.08882633120463312E-01 , 7.21251984991985590E-02 )
( -3.22652878689926259E-01 , -9.13004076936437703E-01 )
( -1.52605607707746366E-01 , 1.14767251239206147E+00 )
( 1.07242826618965048E+00 , 1.31069028884236416E+00 )
( -2.07091954658559896E-01 , 4.27616446611118972E-01 )
index: 28
( -1.50997171495725735E+00 , -8.61417800660635724E-02 )
( -9.85553743122460468E-01 , -1.33485577374777931E+00 )
( 5.39112194496548791E-01 , -1.23994983987492341E-01 )
( -5.32840474319530855E-01 , 1.19985596267135719E+00 )
( -1.46364918242418307E+00 , -4.11687238148426449E-01 )
( -1.50108617247961595E-01 , -7.97674869480317489E-02 )
( 3.13623816680532408E-01 , 5.08115978683683744E-01 )
( 1.77760838125795440E+00 , 4.35228623322024943E-01 )
( -5.11085837677055621E-01 , -1.04120621450526474E+00 )
( -2.14364631608633699E-01 , 5.44309244118491131E-01 )
( 5.90569033247880903E-01 , -5.16342676993177485E-01 )
( -1.26422234575144476E+00 , -1.36414161276884049E-01 )
index: 29
( 1.31380632105094375E-01 , 8.49384569289697189E-01 )
( 3.17111905616429879E-01 , 1.73336195011779792E+00 )
( -7.49662225694963325E-01 , 1.15156548077329224E+00 )
( -1.08518546238295999E+00 , -6.57613810090773021E-01 )
( -2.28427673514076418E-01 , 4.53157694082937171E-02 )
( -1.77809636457820497E-01 , 4.34681989039188421E-01 )
( -1.15698659847399599E+00 , 7.43840977047083407E-01 )
( 1.10788031251218499E+00 , 9.25630631415543026E-01 )
( 3.15945024319306156E-01 , 1.01611425299991898E+00 )
( 3.62269340259518610E-02 , 4.07511908615001625E-02 )
( -4.72100147125617486E-01 , -6.58939233957807402E-01 )
( 7.88128619655036777E-01 , -9.25209713881143883E-03 )
index: 30
( -1.42155040706289704E+00 , 1.05054610192506881E+00 )
( -5.19651639781287811E-01 , -2.82604131977043371E-01 )
( 8.00049155090845843E-01 , -1.87053365862796722E-01 )
( 1.76934973061398743E-01 , -7.91771865131687513E-01 )
( 3.03245502543836476E-01 , 4.80610353353661757E-01 )
( 1.39947661872350348E+00 , -3.66108215039676888E-01 )
( -4.84324427737693741E-01 , -5.16527572478235886E-01 )
( 6.19554383210591086E-01 , -3.84169439368216348E-01 )
( 7.11332957050227366E-01 , -1.13985367294486983E+00 )
( 1.65538487641605364E-01 , 6.28308087963440842E-01 )
( -6.48458277156064744E-01 , 1.34947191039857350E+00 )
( -1.92970280213656697E-01 , 6.21755655301069354E-01 )
index: 31
( 3.18840046210263003E-02 , -2.99803362378706140E-01 )
( 1.08876090776063916E-01 , 8.74473609698527610E-01 )
( -7.07056720915796189E-01 , 3.19801434979339272E-01 )
( 7.18847413795454915E-01 , -2.52676511643392498E-01 )
( 3.76339226485625511E-01 , -1.40310176282982479E+00 )
( -1.61513055993620452E-01 , -8.77374490329432488E-01 )
( -2.94186962539567221E-01 , -8.80821184157455028E-01 )
( 1.42060437457231936E+00 , -3.99986314439315233E-02 )
( 1.18630864362619182E+00 , 3.94482207026432719E-01 )
( 1.83902949694101425E-01 , -4.06590706912043631E-01 )
( 4.79526015669129446E-01 , 9.04181472282828830E-02 )
( -3.53477514306948348E-01 , 6.84916001158287879E-01 )
index: 32
( -4.17831538564903571E-01 , 4.54883726178068604E-01 )
( -3.29888030375631913E-01 , 9.89639903864728866E-03 )
( -1.65223742721015032E+00 , 1.53495524355343504E+00 )
( -4.21501567009141404E-02 , -3.01771909608365307E-01 )
( -3.45369995262958640E-01 , 6.94386598119871024E-01 )
( -1.13722437584041339E-01 , 4.11414416309866859E-01 )
( -7.68132606461074841E-01 , 2.50535301082919881E-01 )
( -8.63574701316907473E-02 , -8.13726729658713621E-01 )
( 9.06013308098919889E-01 , 8.64365446932907622E-01 )
( -7.92198328817704939E-02 , 1.24566240934566674E+00 )
( 8.97379744988969219E-01 , 3.70920915299706555E-01 )
( -2.64629939513355006E-01 , -1.52278908526062118E+00 )
index: 33
( -5.14703505890862223E-02 , 1.34634334797067079E+00 )
( -3.46131803357913992E-01 , -3.06032831230657332E-01 )
( -1.32992992350594474E+00 , 8.14301026278507423E-01 )
( 8.14427704213909531E-01 , 2.34734727220672679E-01 )
